Word_Count,References,Images,Section_Depth
65,1,0,1
153,2,1,1
138,1,1,1
96,1,0,2
585,4,5,2
1924,23,10,2
579,12,3,1
147,2,1,1
465,2,1,2
117,1,0,2
387,5,0,2
164,3,0,2
167,1,0,2
76,1,0,2
179,5,0,2
21,0,0,1
1055,0,0,1
25,0,0,1
317,0,2,1
169,0,1,2
535,1,0,2
301,2,0,2
269,12,0,2
209,6,0,2
729,38,0,2
884,30,88,2
772,14,181,2
412,11,108,2
64,1,0,2
14093,216,691,2
479,62,77,2
30,1,0,2
665,27,39,2
4,0,0,2
34,0,0,1
79,0,0,1
58,1,0,2
203,6,0,2
87,4,0,2
11412,79,468,2
578,12,0,2
34,3,0,2
395,3,1,1
870,5,309,1
582,16,158,1
44,3,0,1
9,0,0,1
658,27,0,1
149,8,0,1
19,1,0,1
24,0,0,1
7684,0,0,1
171,0,0,1
106,4,0,1
21,2,0,1
48,3,0,1
182,0,3,1
9820,182,26,1
744,30,0,2
856,26,0,2
649,14,0,2
626,20,0,2
323,10,1,1
398,16,2,2
909,3,0,2
192,7,0,1
130,6,0,2
106,1,1,1
257,2,1,1
112,1,1,1
78,1,1,1
147,5,0,1
4227,40,18,2
363,6,3,1
303,12,0,1
264,11,1,1
23,0,5,1
140,6,0,1
16,0,2,1
33,5,0,1
2995,0,7,1
1094,0,0,1
339,0,7,1
476,4,0,1
73,1,3,1
238,12,2,1
17,0,0,1
23,0,0,1
1402,0,55,1
7,0,0,1
307,0,1,1
1014,0,48,1
